WKT,type,label,descr,city,region,country,house,phone,zip,highway,level,endlevel,GEOMETRY_X,GEOMETRY_Y
"POINT (174.94302 -37.07169)",5654,,,,,,,,,,0,0,174.94302,-37.07169
"POINT (174.932 -37.07341)",5654,,,,,,,,,,0,0,174.932,-37.07341
"POINT (174.94639 -37.06969)",5654,,,,,,,,,,0,0,174.94639,-37.06969
"POINT (174.94328 -37.0624)",5654,,,,,,,,,,0,0,174.94328,-37.0624
"POINT (174.94067 -37.06004)",5654,,,,,,,,,,0,0,174.94067,-37.06004
"POINT (174.94375 -37.06656)",5654,,,,,,,,,,0,0,174.94375,-37.06656
"POINT (174.94415 -37.06265)",5654,,,,,,,,,,0,0,174.94415,-37.06265
"POINT (174.94201 -37.06236)",5654,,,,,,,,,,0,0,174.94201,-37.06236
"POINT (174.94111 -37.06109)",5654,,,,,,,,,,0,0,174.94111,-37.06109
"POINT (174.92535 -37.04751)",5654,,,,,,,,,,0,0,174.92535,-37.04751
"POINT (174.94023 -37.05903)",5654,,,,,,,,,,0,0,174.94023,-37.05903
"POINT (174.94139 -37.05813)",5654,,,,,,,,,,0,0,174.94139,-37.05813
"POINT (174.93995 -37.06165)",5654,,,,,,,,,,0,0,174.93995,-37.06165
"POINT (174.91911 -37.04313)",5654,,,,,,,,,,0,0,174.91911,-37.04313
"POINT (174.91523 -37.04019)",5654,,,,,,,,,,0,0,174.91523,-37.04019
"POINT (174.91171 -37.03753)",5654,,,,,,,,,,0,0,174.91171,-37.03753
"POINT (174.90916 -37.0356)",5654,,,,,,,,,,0,0,174.90916,-37.0356
"POINT (175.29266 -37.79157)",5654,,,,,,,,,,0,0,175.29266,-37.79157
"POINT (175.28793 -37.79243)",5654,,,,,,,,,,0,0,175.28793,-37.79243
"POINT (175.28286 -37.78711)",5654,,,,,,,,,,0,0,175.28286,-37.78711
"POINT (175.29225 -37.79043)",5654,,,,,,,,,,0,0,175.29225,-37.79043
"POINT (175.28558 -37.78998)",5654,,,,,,,,,,0,0,175.28558,-37.78998
"POINT (175.28332 -37.79136)",5654,,,,,,,,,,0,0,175.28332,-37.79136
"POINT (175.2839 -37.7882)",5654,,,,,,,,,,0,0,175.2839,-37.7882
"POINT (175.28088 -37.78496)",5654,,,,,,,,,,0,0,175.28088,-37.78496
"POINT (175.27931 -37.78321)",5654,,,,,,,,,,0,0,175.27931,-37.78321
"POINT (175.27603 -37.77967)",5654,,,,,,,,,,0,0,175.27603,-37.77967
"POINT (175.2729 -37.7784)",5654,,,,,,,,,,0,0,175.2729,-37.7784
"POINT (175.27438 -37.7775)",5654,,,,,,,,,,0,0,175.27438,-37.7775
"POINT (175.2626 -37.76941)",5654,,,,,,,,,,0,0,175.2626,-37.76941
"POINT (175.28163 -37.78956)",5654,,,,,,,,,,0,0,175.28163,-37.78956
"POINT (175.2794 -37.78715)",5654,,,,,,,,,,0,0,175.2794,-37.78715
"POINT (175.27862 -37.78625)",5654,,,,,,,,,,0,0,175.27862,-37.78625
"POINT (175.27702 -37.78451)",5654,,,,,,,,,,0,0,175.27702,-37.78451
"POINT (175.2754 -37.78273)",5654,,,,,,,,,,0,0,175.2754,-37.78273
"POINT (175.27174 -37.78041)",5654,,,,,,,,,,0,0,175.27174,-37.78041
"POINT (175.27107 -37.78149)",5654,,,,,,,,,,0,0,175.27107,-37.78149
